Title,Company,Location,Date_Posted,Date_Collected
Data Analyst (Remote),Relativity,"Łódź, Łódzkie, Poland",2023-01-17,2023-02-02
Global Data Analyst,McCormick & Company,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Master Data Analyst,Marel,"Łódź, Łódzkie, Poland",2023-01-28,2023-02-02
Business Data Analyst,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
Senior Data Analyst,Nordea,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Business Intelligence Analyst,Philips,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Data Engineer,Power Media,"Łódź, Łódzkie, Poland",2023-01-09,2023-02-02
Data Engineer,Marel,"Łódź, Łódzkie, Poland",2023-01-22,2023-02-02
HR Systems OM Data Analyst,McCormick & Company,"Łódź, Łódzkie, Poland",2023-01-21,2023-02-02
Analityk Danych,Antal Poland,"Łódź, Łódzkie, Poland",2022-12-09,2023-02-02
Analityk Danych,Antal Poland,"Łódź, Łódzkie, Poland",2022-12-09,2023-02-02
Analityk Danych,Antal Poland,"Łódź, Łódzkie, Poland",2022-12-09,2023-02-02
Packaging Master Data Analyst (2nd shift),Infosys BPM,"Łódź, Łódzkie, Poland",2023-01-05,2023-02-02
Packaging Master Data Analyst (2nd shift),Infosys BPM,"Łódź, Łódzkie, Poland",2023-01-05,2023-02-02
BI Data Engineer (Remote),Relativity,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Senior Master Data Operations Analyst,Barry Callebaut Group,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
Data Engineer (Processing),HARMAN International,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Data Engineer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Packaging/Specifications Master Data Analyst,Infosys BPM,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
Analyst in Statistical Reporting,Nordea,"Łódź, Łódzkie, Poland",2023-01-18,2023-02-02
Analityk w zespole Business Intelligence,Comarch,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
"Data Analyst/ Senior Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
GFCP Senior Expert - Data Analyst,Nordea,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Database Developer,Commerzbank Digital Technology Centre Lodz,"Łódź, Łódzkie, Poland",2023-01-18,2023-02-02
Data Engineer - Smart City,Incubly,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
Junior Business Analyst to Transaction Data & Analytics Team,Nordea,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
HR Data Management Analyst (Łódź/Wrocław),Whirlpool Corporation,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
"Data Analyst, Strategic Partnerships( Bangkok based)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
"Data Analyst, Partner Development – (Statistics/ML/BI) (Bangkok-based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Digital Analyst,Transfer Multisort Elektronik,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
"Data Governance Expert, Data Quality Analytics & Controls",Nordea,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Tester w zespole Business Intelligence,Comarch,"Łódź, Łódzkie, Poland",2023-01-21,2023-02-02
Snowflake Data Engineer Remote,Knowit,"Łódź, Łódzkie, Poland",2022-12-09,2023-02-02
IT Infrastructure Engineer,Bosch Polska,"Łódź, Łódzkie, Poland",2023-01-09,2023-02-02
Młodszy Analityk Danych,Grafton Recruitment,"Łódź, Łódzkie, Poland",2022-12-13,2023-02-02
Technical Support Application Analyst (Remote 24/7),Relativity,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
Technical Support Application Analyst (Remote Afternoon Shift),Relativity,"Łódź, Łódzkie, Poland",2023-01-17,2023-02-02
Microsoft Power Platform - Cloud Engineer,Bosch Polska,"Łódź, Łódzkie, Poland",2023-01-04,2023-02-02
Technical Support Application Analyst (Remote) (Tuesday-Saturday),Relativity,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
GCP Data Engineer,Endava,"Łódź, Łódzkie, Poland",2022-12-20,2023-02-02
Junior DevOps,Pixel Technology,"Łódź, Łódzkie, Poland",2022-12-19,2023-02-02
Storage and File Service Engineer,Bosch Polska,"Łódź, Łódzkie, Poland",2023-01-09,2023-02-02
"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
AWS Data Engineer,Atos,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
Microsoft Cloud Specialist,Marel,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
IT Infrastructure Engineer,Antal Poland,"Łódź, Łódzkie, Poland",2022-12-18,2023-02-02
"BI Developer (Oracle, PL/SQL)",Power Media,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Analityk ds. budowy i walidacji modeli dla ryzyka kredytowego i analityki danych w EY Polska,EY,"Łódź, Łódzkie, Poland",2023-01-14,2023-02-02
Data System Engineer,Sii Poland,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
"Senior Data Analyst, Partner Development – (Statistics/ML/BI) (Bangkok-based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
CONTRACT ANALYST,McCormick & Company,"Łódź, Łódzkie, Poland",2023-01-25,2023-02-02
Informatica PowerCenter Developer,mBank S.A.,"Łódź, Łódzkie, Poland",2023-01-18,2023-02-02
Senior Power BI Developer,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
SIEM Security Engineer,"Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Łódź, Łódzkie, Poland",2022-12-22,2023-02-02
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Łódź, Łódzkie, Poland",2022-12-17,2023-02-02
ETL Developer,Atos,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Talend Developer,Atos,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
SAS DevOps Engineer,Commerzbank Digital Technology Centre Lodz,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
Cloud Security Engineer (GCP),GFT Group,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
"Senior People Data Analyst (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Application Operation Engineer,HSS Work,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Internship - Intern - DevOps for Application Modernization Services,Atos,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Cloud Engineer,Commerzbank Digital Technology Centre Lodz,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
ESB Developer,Zafran Group,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
Database Reliability Engineer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Low-Code Developer,Zafran Group,"Łódź, Łódzkie, Poland",2023-01-16,2023-02-02
Deployment Engineer,IDEMIA,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
SIEM Engineer (Sentinel)(remote job),KLIENT jobdesk.pl,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Data Solution Engineer with Databricks\PySpark,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
Sustainability Certification Reconciliation Analyst,Barry Callebaut Group,"Łódź, Łódzkie, Poland",2023-01-21,2023-02-02
Python Developer to Datawarehousing team,Nordea,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Sharepoint Online/On-Prem Engineer,"Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
Application Operations Engineer,People Sp. z o.o.,"Łódź, Łódzkie, Poland",2022-12-10,2023-02-02
Salesforce Developer,"Hexagon Safety, Infrastructure & Geospatial","Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Application Security Engineer - remote,Sowelo Consulting sp. z o.o. sp. k.,"Łódź, Łódzkie, Poland",2022-11-26,2023-02-02
Application Security Engineer - remote,Sowelo Consulting sp. z o.o. sp. k.,"Łódź, Łódzkie, Poland",2022-11-26,2023-02-02
Web Analyst (Regular/Senior),www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
(Big Data) Hadoop/Cloudera Senior Developer,Nordea,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Due Diligence Analyst,Marel,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
Managed Cloud Junior AWS Engineer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-01-25,2023-02-02
SCOM Engineer,"Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
Cloud Migration Engineer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
Programista baz danych (Business Inteligence),Comarch,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
Salesforce Developer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
Junior DevOps Engineer,Fujitsu,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
SCCM Engineer,"Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
DLP Engineer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
System Engineer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-16,2023-02-02
IAM Engineer,Atos,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
Progress Developer,www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-21,2023-02-02
IAM Engineer,"Smart-HR Doradztwo Personalne, Kadry i Płace, Szkolenia","Łódź, Łódzkie, Poland",2023-01-03,2023-02-02
Senior IT Cost Analyst,Barry Callebaut Group,"Łódź, Łódzkie, Poland",2022-12-25,2023-02-02
Field Service Engineer,Beckman Coulter Diagnostics,"Łódź, Łódzkie, Poland",2023-01-22,2023-02-02
Cloud Security Engineer,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-28,2023-02-02
Azure Cloud System Engineer,Cyclad,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
Field Service Engineer,Beckman Coulter Diagnostics,"Łódź, Łódzkie, Poland",2023-01-11,2023-02-02
Senior Data Engineer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Security Engineer – Microsoft Exchange,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
Shopify Developer (remote job),KLIENT jobdesk.pl,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Data Quality Senior Developer,Atos,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Junior Test Automation/Integration Engineer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-29,2023-02-02
Python Developer,Grafton Recruitment,"Łódź, Łódzkie, Poland",2022-10-22,2023-02-02
Salesforce Application Developer,Marel,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
Tech System Engineer (Mid/Senior),Nordea,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
"Map Maker (JavaScript, React) Intern",TomTom,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Site Reliability Engineer,IDEMIA,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Oracle developer z Apex,HRose Agency,"Łódź, Łódzkie, Poland",2022-12-19,2023-02-02
QA Engineer for Integrated Operations Management - Internship,ABB,"Łódź, Łódzkie, Poland",2022-12-15,2023-02-02
Microsoft Dynamics 365 F&O Developer,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-25,2023-02-02
Lead AI/ML Developer,EY,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
Managed Cloud Engineer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
Analyst / Senior Analyst – Business Intelligence & Operations [Bangkok Based],Agoda,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Software Developer / Technical Consultant Identity Management,Bosch Polska,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Junior Fullstack Developer,BSS-Business Support Solution SA,"Łódź, Łódzkie, Poland",2023-01-10,2023-02-02
"Analyst (Business Intelligence) – Supply Strategy and Optimisation (Bangkok based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Middleware Technical Services Engineer,Fujitsu,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
SharePoint Online Developer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
"DevOps Engineer (Full remote, no VISA sponsorship)",Hexagon AB,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
SR. SAP Systems Analyst Digital Supply Chain (SAP WM/MM/PP) - PL,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-21,2023-02-02
Cloud Solutions Developer,Ericsson,"Łódź, Łódzkie, Poland",2023-01-18,2023-02-02
Software Engineer with BASIC language,Commerzbank Digital Technology Centre Lodz,"Łódź, Łódzkie, Poland",2023-01-02,2023-02-02
Cloud Developer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
DevOps Engineer - SalesForce,Barry Callebaut Group,"Łódź, Łódzkie, Poland",2022-12-25,2023-02-02
Cloud Engineer (AWS),Fujitsu,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
Industry X – Digital Manufacturing Analyst / Consultant (CN),Accenture Poland,"Łódź, Łódzkie, Poland",2022-12-20,2023-02-02
Security Business Analyst – cybersecurity sector,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Expert IT Developer,Nordea,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
Scala Developer,P&P Solutions Sp. z o.o.,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Cloud Developer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Wordpress Developer,InterSynergy Software House,"Łódź, Łódzkie, Poland",2022-12-28,2023-02-02
Python/JavaScript Developer,Ericsson,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Senior Scala Developer,Nordea,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
DevOps Engineer,Commerzbank AG,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
DevOps (Cloud),www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-24,2023-02-02
Senior AEM Developer,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-29,2023-02-02
Site Reliability Engineer,IDEMIA,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Unity Developer,Red Block Studio,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
